,M1_init,M2_init,q_init,P_init,FeH_init,stability,P_final,q_final,M1_final,M2_final,product
2609,1.82115179582044,0.620846501093828,2.9333366502217104,4.35679294749355,-0.633947158202444,merger,0.0,0.0,0.0,0.0,merger
2610,1.8044552774436298,0.96182762671826,1.8760692948698101,107.349763501777,-0.232442317037276,stable,483.1242370605469,0.41485244035720825,0.41538161039352417,0.9411423206329346,He-WD
2611,1.602787905264,1.4659512027005,1.0933432861281,38.5346253323786,-0.12824300885279302,stable,504.7380065917969,0.29327812790870667,0.39546459913253784,1.4424726963043213,He-WD
2612,2.54575245393266,2.00564366312894,1.26929449170503,37.0008686598309,0.206997647386311,stable,488.49627685546875,0.233089879155159,0.5172090530395508,1.9460883140563965,HB
2613,0.8770907670814879,0.667445107190992,1.31410172556783,226.784018934921,-0.6686435724836469,stable,476.62103271484375,0.6287298798561096,0.43419525027275085,0.6712981462478638,He-WD
2614,2.5765978587834906,1.1914361432586398,2.1625983678289,19.328152110024604,-0.452842809903012,merger,0.0,0.0,0.0,0.0,merger
2615,2.8366735352915096,0.282548588280765,10.039595499492401,2.16628100243359,0.31593453198547305,merger,0.0,0.0,0.0,0.0,merger
2616,1.1732810473639999,0.747535281569093,1.56953267128912,26.119993035879897,-0.367236745689812,stable,154.30615234375,0.4874565601348877,0.3626788854598999,0.7717627882957458,He-WD
2617,2.95371521284561,0.578702270137596,5.1040325315179995,14.587870583465099,0.204581703160053,stable,-722.7839965820312,1.5074445009231567,0.21758709847927094,0.3954320251941681,He-WD
2618,3.1589944293850802,1.579305917596,2.00024225464416,11.6890816301864,0.057734369713168,stable,-106.83875274658203,0.20342248678207397,0.4392637312412262,1.5713762044906616,HB
2619,1.28700182777968,0.982642984194581,1.3097349174426398,208.41463409506198,-0.621741275472938,stable,804.2232055664062,0.4828055202960968,0.4823746085166931,0.9798862338066101,sdB
2620,1.2031968187816002,0.83489089022687,1.4411425886497,62.1358627177174,0.216809184119274,stable,279.94415283203125,0.4124576449394226,0.3736613392829895,0.8796426653862,He-WD
2621,0.992741838398585,0.373883164564375,2.65521941742219,45.8712409406203,-0.6781246298840639,merger,0.0,0.0,0.0,0.0,merger
2622,2.13905461039232,0.367584340644793,5.819221261276059,7.38687728964123,-0.180956691417915,merger,0.0,0.0,0.0,0.0,merger
